block,run_id,cell,pair,role,phase,sample,q_before_ns,windows_ns,q_after_ns,rtt_ns,offset_windows_minus_q_ns
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,destination_init,after,1,1784150502995695000,1784150498663616400,1784150503269685000,273990000,-4469073600
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,destination_init,after,2,1784150503270614000,1784150498669566500,1784150503271413000,799000,-4601447000
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,destination_init,after,3,1784150503271761000,1784150498670664200,1784150503272485000,724000,-4601458800
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,source_init,before,1,1784150509962326000,1784150505640504900,1784150510248103000,285777000,-4464709600
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,source_init,before,2,1784150510248958000,1784150505647446700,1784150510250106000,1148000,-4602085300
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,source_init,before,3,1784150510250394000,1784150505648404800,1784150510250822000,428000,-4602203200
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,source_init,after,1,1784150511844205000,1784150507511333700,1784150512118418000,274213000,-4469977800
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,source_init,after,2,1784150512119309000,1784150507517335600,1784150512120236000,927000,-4602436900
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,source_init,after,3,1784150512120603000,1784150507518486800,1784150512121242000,639000,-4602435700
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,destination_init,before,1,1784150554505277000,1784150550187684900,1784150554797442000,292165000,-4463674600
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,destination_init,before,2,1784150554798300000,1784150550194767400,1784150554798851000,551000,-4603808100
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,destination_init,before,3,1784150554799139000,1784150550195480500,1784150554799484000,345000,-4603831000
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,destination_init,after,1,1784150556220171000,1784150551887653500,1784150556496023000,275852000,-4470443500
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,destination_init,after,2,1784150556496744000,1784150551893182200,1784150556497221000,477000,-4603800300
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,destination_init,after,3,1784150556497472000,1784150551893831400,1784150556497860000,388000,-4603834600
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,source_init,before,1,1784150562797174000,1784150558485062700,1784150563094482000,297308000,-4460765300
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,source_init,before,2,1784150563095421000,1784150558491790200,1784150563095967000,546000,-4603903800
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,source_init,before,3,1784150563096253000,1784150558492536300,1784150563096710000,457000,-4603945200
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,source_init,after,1,1784150564889612000,1784150560556229600,1784150565164836000,275224000,-4470994400
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,source_init,after,2,1784150565165556000,1784150560561886100,1784150565166021000,465000,-4603902400
1,20260715T211759Z.30531-b1-off,wm_tcp_large,3,source_init,after,3,1784150565166275000,1784150560562515500,1784150565166621000,346000,-4603932500
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,destination_init,before,1,1784150571371252000,1784150567057245000,1784150571666692000,295440000,-4461727000
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,destination_init,before,2,1784150571667454000,1784150567063704500,1784150571667931000,477000,-4603988000
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,destination_init,before,3,1784150571668212000,1784150567064394400,1784150571668571000,359000,-4603997100
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,destination_init,after,1,1784150572983135000,1784150568650368100,1784150573258839000,275704000,-4470618900
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,destination_init,after,2,1784150573259664000,1784150568655925000,1784150573260145000,481000,-4603979500
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,destination_init,after,3,1784150573260397000,1784150568656620900,1784150573260877000,480000,-4604016100
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,source_init,before,1,1784150579941001000,1784150575618651600,1784150580227942000,286941000,-4465819900
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,source_init,before,2,1784150580228515000,1784150575624646000,1784150580228942000,427000,-4604082500
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,source_init,before,3,1784150580229143000,1784150575625220100,1784150580229462000,319000,-4604082400
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,source_init,after,1,1784150582031420000,1784150577706373000,1784150582315129000,283709000,-4466901500
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,source_init,after,2,1784150582315976000,1784150577712191400,1784150582316648000,672000,-4604120600
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,3,source_init,after,3,1784150582316944000,1784150577713116700,1784150582317548000,604000,-4604129300
