block,run_id,pass,cell,pair,role,role_order,before_sample,before_min_rtt_ns,before_offset_windows_minus_q_ns,after_sample,after_min_rtt_ns,after_offset_windows_minus_q_ns,selected_max_rtt_ns,selected_offset_change_ns
4,20260715T211759Z.30531-b4-off,reverse,mw_tcp_mixed,7,source_init,2,3,385000,-4612973400,2,391000,-4612968300,391000,5100
4,20260715T211759Z.30531-b4-off,reverse,wm_grpc_mixed,7,destination_init,1,3,369000,-4613077900,3,360000,-4613084000,369000,-6100
4,20260715T211759Z.30531-b4-off,reverse,wm_grpc_mixed,7,source_init,2,3,363000,-4613158600,3,678000,-4613217300,678000,-58700
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_large,7,destination_init,1,3,376000,-4613218800,3,302000,-4613229800,376000,-11000
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_large,7,source_init,2,3,348000,-4613276600,3,366000,-4613287200,366000,-10600
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_large,8,source_init,1,3,343000,-4613353900,3,328000,-4613372700,343000,-18800
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_large,8,destination_init,2,3,363000,-4613440000,3,355000,-4613438000,363000,2000
4,20260715T211759Z.30531-b4-off,reverse,wm_grpc_mixed,8,source_init,1,3,362000,-4613503500,3,673000,-4613578100,673000,-74600
4,20260715T211759Z.30531-b4-off,reverse,wm_grpc_mixed,8,destination_init,2,3,362000,-4613576800,2,491000,-4613532300,491000,44500
4,20260715T211759Z.30531-b4-off,reverse,mw_tcp_mixed,8,source_init,1,3,354000,-4613644800,3,393000,-4613653800,393000,-9000
4,20260715T211759Z.30531-b4-off,reverse,mw_tcp_mixed,8,destination_init,2,3,334000,-4613717400,3,372000,-4613733000,372000,-15600
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_mixed,8,source_init,1,3,288000,-4613815100,2,591000,-4613861100,591000,-46000
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_mixed,8,destination_init,2,3,359000,-4613909300,3,481000,-4613932000,481000,-22700
