block,trace_state,pass,cell,pair,role,run_id,session_id,endpoint_role,initiator_role,interval_kind,interval_name,correlation,start_event,end_event,start_producer_seq,end_producer_seq,start_elapsed_ns,end_elapsed_ns,duration_ns
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,socket_accept_begin->socket_accept_end,epoch=1;socket=0,socket_accept_begin,socket_accept_end,90,92,147462625,148093750,631125
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,socket_accept_begin->socket_accept_end,epoch=2;socket=0,socket_accept_begin,socket_accept_end,99,100,148097042,148560834,463792
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,socket_accept_begin->socket_accept_end,epoch=3;socket=0,socket_accept_begin,socket_accept_end,108,110,148573667,149520459,946792
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,socket_accept_begin->socket_accept_end,epoch=4;socket=0,socket_accept_begin,socket_accept_end,118,119,149631000,149941375,310375
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,socket_accept_begin->socket_accept_end,epoch=5;socket=0,socket_accept_begin,socket_accept_end,127,133,150069584,150517625,448041
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,socket_accept_begin->socket_accept_end,epoch=6;socket=0,socket_accept_begin,socket_accept_end,136,144,150519209,150801500,282291
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,socket_accept_begin->socket_accept_end,epoch=7;socket=0,socket_accept_begin,socket_accept_end,143,146,150789917,151180459,390542
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=0,need_batch_send_begin,need_batch_sent,3,4,16048709,16059917,11208
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=1,need_batch_send_begin,need_batch_sent,5,6,23726750,23730792,4042
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=2,need_batch_send_begin,need_batch_sent,7,8,31271542,31283875,12333
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=3,need_batch_send_begin,need_batch_sent,9,10,37568000,37571375,3375
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=4,need_batch_send_begin,need_batch_sent,11,12,43309292,43313000,3708
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=5,need_batch_send_begin,need_batch_sent,13,14,48311500,48314750,3250
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=6,need_batch_send_begin,need_batch_sent,15,16,53118417,53121500,3083
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=7,need_batch_send_begin,need_batch_sent,17,18,57634334,57636250,1916
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=8,need_batch_send_begin,need_batch_sent,19,20,61636750,61638542,1792
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=9,need_batch_send_begin,need_batch_sent,21,22,65391792,65393292,1500
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=10,need_batch_send_begin,need_batch_sent,23,24,69024542,69025917,1375
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=11,need_batch_send_begin,need_batch_sent,25,26,72617667,72619042,1375
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=12,need_batch_send_begin,need_batch_sent,27,28,75984042,75985292,1250
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=13,need_batch_send_begin,need_batch_sent,29,30,79202500,79203834,1334
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,need_batch_send_begin->need_batch_sent,batch=14,need_batch_send_begin,need_batch_sent,31,32,82311417,82312542,1125
