block,trace_state,pass,cell,role,pair,role_order,transfer_ms,settled_ms,flush_ms,total_ms,landed_root,tree_manifest_sha256,exit,drain,valid,run_id,session_id,client_log
2,on,reverse,mw_tcp_mixed,source_init,4,1,1007,389,1132,2278,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,f096f8dfc021bf2e,client/b2_mw_tcp_mixed_p4_source_init.err
2,on,reverse,mw_tcp_mixed,destination_init,4,2,975,463,1135,2323,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,942b15755f2f5459,client/b2_mw_tcp_mixed_p4_destination_init.windows.err
2,on,reverse,wm_tcp_mixed,source_init,4,1,1259,456,85,1550,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,2568df6e16763514,client/b2_wm_tcp_mixed_p4_source_init.windows.err
2,on,reverse,wm_tcp_mixed,destination_init,4,2,1117,417,85,1369,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,dd9ef6ad1709387a,client/b2_wm_tcp_mixed_p4_destination_init.err
3,on,forward,wm_tcp_mixed,source_init,5,1,1156,454,86,1446,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,39d353451b6b4b4c,client/b3_wm_tcp_mixed_p5_source_init.windows.err
3,on,forward,wm_tcp_mixed,destination_init,5,2,1109,419,87,1365,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,9c0d57fa9f97c59c,client/b3_wm_tcp_mixed_p5_destination_init.err
3,on,forward,mw_tcp_mixed,source_init,5,1,848,425,1129,2152,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,58682f17b3499670,client/b3_mw_tcp_mixed_p5_source_init.err
3,on,forward,mw_tcp_mixed,destination_init,5,2,994,455,1136,2335,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,f1312ba5220e3f1f,client/b3_mw_tcp_mixed_p5_destination_init.windows.err
3,on,forward,wm_grpc_mixed,source_init,5,1,1370,458,87,1665,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,,client/b3_wm_grpc_mixed_p5_source_init.windows.err
3,on,forward,wm_grpc_mixed,destination_init,5,2,1205,409,87,1451,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,,client/b3_wm_grpc_mixed_p5_destination_init.err
3,on,forward,wm_tcp_large,source_init,5,1,1353,471,0,1574,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b3-on,51af54f86de4d32b,client/b3_wm_tcp_large_p5_source_init.windows.err
3,on,forward,wm_tcp_large,destination_init,5,2,1266,415,0,1431,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b3-on,03475cc4b11f3653,client/b3_wm_tcp_large_p5_destination_init.err
3,on,forward,wm_tcp_large,destination_init,6,1,1259,407,0,1416,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b3-on,a13fccb05f1ae7ad,client/b3_wm_tcp_large_p6_destination_init.err
3,on,forward,wm_tcp_large,source_init,6,2,1353,468,0,1571,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b3-on,fe585a3d1e77436a,client/b3_wm_tcp_large_p6_source_init.windows.err
3,on,forward,wm_grpc_mixed,destination_init,6,1,1162,401,88,1401,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,,client/b3_wm_grpc_mixed_p6_destination_init.err
3,on,forward,wm_grpc_mixed,source_init,6,2,1379,467,87,1683,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,,client/b3_wm_grpc_mixed_p6_source_init.windows.err
3,on,forward,mw_tcp_mixed,destination_init,6,1,934,469,1136,2289,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,7b06250205ddbc95,client/b3_mw_tcp_mixed_p6_destination_init.windows.err
3,on,forward,mw_tcp_mixed,source_init,6,2,911,391,1184,2236,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,29943cf6f2565c8a,client/b3_mw_tcp_mixed_p6_source_init.err
3,on,forward,wm_tcp_mixed,destination_init,6,1,1138,428,87,1403,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,298ba3d02509d9ba,client/b3_wm_tcp_mixed_p6_destination_init.err
3,on,forward,wm_tcp_mixed,source_init,6,2,1234,450,86,1520,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,425061c6f6cd7ce4,client/b3_wm_tcp_mixed_p6_source_init.windows.err
3,on,forward,wm_tcp_large,destination_init,7,1,1264,413,0,1427,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b3-on,89647b5cd025a058,client/b3_wm_tcp_large_p7_destination_init.err
3,on,forward,wm_tcp_large,source_init,7,2,1354,466,0,1570,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b3-on,6e6149016ac8f50a,client/b3_wm_tcp_large_p7_source_init.windows.err
3,on,forward,wm_grpc_mixed,destination_init,7,1,1159,408,88,1405,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b3-on,,client/b3_wm_grpc_mixed_p7_destination_init.err
